dataset,n_components,covariance_type,reg_covar,task,attack,accuracy,precision,recall,f1_macro,f1_weighted,aic_val
CIC-IDS2017,3,full,1e-06,1,dos_hulk,1.0,1.0,1.0,1.0,1.0,6845879.121427141
CIC-IDS2017,3,full,1e-06,2,ddos,0.9999535164784084,0.9999580853382513,0.9999478351591027,0.9999529580095645,0.9999535162401538,5685863598.748204
CIC-IDS2017,3,full,1e-06,3,dos_slowhttptest,0.9998407824405777,0.9995600558600852,0.9985313004124222,0.9990448225098022,0.9998406986143078,1015020.7574976757
CIC-IDS2017,3,full,1e-06,4,dos_slowloris,0.9994450610432852,0.9966863796464493,0.9944644023912697,0.9955716984580755,0.999444202936802,383123.5534041753
CIC-IDS2017,3,full,1e-06,5,dos_goldeneye,0.9990300469888348,0.9954255516356915,0.9930286689485837,0.9942230525529083,0.9990287284263953,-705092.4014151406
CIC-IDS2017,3,full,1e-06,6,ftp_patator,0.9989580896893406,0.9956413131234431,0.9931406886907488,0.994386878025265,0.9989570258972658,2678127.7205039295
CSE-CIC-IDS2018,3,full,1e-06,1,DoS attacks-Hulk,1.0,1.0,1.0,1.0,1.0,-4379503.751438715
CSE-CIC-IDS2018,3,full,1e-06,2,Infilteration,0.9991379310344828,0.9991522550016955,0.999124649859944,0.9991377093355542,0.9991379191151856,2440896.973930766
CSE-CIC-IDS2018,3,full,1e-06,3,Bot,0.9951886727610145,0.9934406040779514,0.9952862295907275,0.9943509391671643,0.9951952774054516,-1600446.6897932962
CSE-CIC-IDS2018,3,full,1e-06,4,SSH-Bruteforce,0.995652972509643,0.9950379945008072,0.9963245376638977,0.9956719730030655,0.9956589699607666,125825488.32707912
CSE-CIC-IDS2018,3,full,1e-06,5,DDOS attack-HOIC,0.9968188461869143,0.9959285645241234,0.9969730375492161,0.9964435432883871,0.9968233237305694,-5449881.549817972
CSE-CIC-IDS2018,3,full,1e-06,6,DoS attacks-GoldenEye,0.9962982988811713,0.9959952580093426,0.9944607302470789,0.995210729324462,0.9963016599040206,24003241216.504704
LYCOS-IDS2017,3,full,1e-06,1,ddos,1.0,1.0,1.0,1.0,1.0,-11321063.256730676
LYCOS-IDS2017,3,full,1e-06,2,dos_hulk,1.0,1.0,1.0,1.0,1.0,-8675875.607396765
LYCOS-IDS2017,3,full,1e-06,3,dos_goldeneye,1.0,1.0,1.0,1.0,1.0,4035030311.7502785
LYCOS-IDS2017,3,full,1e-06,4,dos_slowloris,0.9999624666891866,0.9997549248980866,0.9995780337741276,0.999666445119692,0.9999624633682523,-428299.34618232894
LYCOS-IDS2017,3,full,1e-06,5,dos_slowhttptest,0.9942161395494483,0.9519407445070698,0.9409711361532981,0.9385842272902509,0.9941188601236897,18230533.01897015
LYCOS-IDS2017,3,full,1e-06,6,ftp_patator,0.9942806304016268,0.9599453649542747,0.9505975054559991,0.9487116070644248,0.9941847359795583,-592213.2900277167
NSL-KDD,3,full,1e-06,1,neptune,1.0,1.0,1.0,1.0,1.0,-8563455.431274327
NSL-KDD,3,full,1e-06,2,satan,0.999002493765586,0.997916513209243,0.9958855296564695,0.9968984526480811,0.9990014744892786,11191605.41746851
NSL-KDD,3,full,1e-06,3,ipsweep,0.9985107967237528,0.9966056344809848,0.9945627627402193,0.9955814855651376,0.9985097636851399,26828206.952325568
NSL-KDD,3,full,1e-06,4,portsweep,0.9957731595632265,0.9833321762609835,0.9891243573301971,0.9860962240056174,0.9958067909036411,1.1196541696332004e+18
NSL-KDD,3,full,1e-06,5,smurf,0.995992987728525,0.9866657410087868,0.9912994858641577,0.988876979204494,0.9960248699809457,-797722.20843046
UNSW-NB15,3,full,1e-06,1,Exploits,1.0,1.0,1.0,1.0,1.0,1698898.7343763206
UNSW-NB15,3,full,1e-06,2,DoS,0.8349368610944077,0.6771660503557906,0.6275194168359532,0.6446083239910314,0.8215653821113849,-1353332.415980998
UNSW-NB15,3,full,1e-06,3,Generic,0.8005912058135238,0.662927356129552,0.6336219708516221,0.616788503492498,0.7723030626087751,22084043.56950049
UNSW-NB15,3,full,1e-06,4,Reconnaissance,0.7076116005146986,0.5802076346383157,0.6136235740529699,0.5738523733031141,0.6916636341875384,127357.77669703949
UNSW-NB15,3,full,1e-06,5,Fuzzers,0.6288032454361054,0.5643608845540105,0.576186753070044,0.5523050568465402,0.6160308278414339,-2568962.8476554467
