model_name,accuracy,precision,recall,f1_score,roc_auc,best_hyperparameters
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_aic,0.9752066115702479,0.9726779397830241,0.9166609191960313,0.9409196244941962,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 1e-09, 'selection_metric': 'aic', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_accuracy,0.9752066115702479,0.9726779397830241,0.9166609191960313,0.9409196244941962,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 1e-09, 'selection_metric': 'accuracy', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_f1_score,0.9752066115702479,0.9726779397830241,0.9166609191960313,0.9409196244941962,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 1e-09, 'selection_metric': 'f1_score', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Fixed-3_aic,0.9749561733032808,0.984029767228555,0.9117579132490775,0.9428874533027202,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 1e-09, 'selection_metric': 'aic', 'tune_components': False, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_aic,0.9757909675265047,0.9732017024337767,0.9183403964882391,0.9421408508895219,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 1e-06, 'selection_metric': 'aic', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-2_accuracy,0.9770431588613406,0.9642159765145054,0.9261902899984886,0.9424324852543,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 1e-06, 'selection_metric': 'accuracy', 'tune_components': True, 'n_components': 2}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-3_f1_score,0.9761248852157943,0.9863366011321923,0.9159561988472682,0.946349752187875,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 1e-06, 'selection_metric': 'f1_score', 'tune_components': True, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Fixed-3_aic,0.9761248852157943,0.9863366011321923,0.9159561988472682,0.946349752187875,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 1e-06, 'selection_metric': 'aic', 'tune_components': False, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_aic,0.9838049920694549,0.9646324735827518,0.9453603402837304,0.9535354405705053,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 0.001, 'selection_metric': 'aic', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-3_accuracy,0.9874780866516404,0.9827210689656193,0.9560925207075014,0.9682218762582835,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 0.001, 'selection_metric': 'accuracy', 'tune_components': True, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-3_f1_score,0.9874780866516404,0.9827210689656193,0.9560925207075014,0.9682218762582835,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 0.001, 'selection_metric': 'f1_score', 'tune_components': True, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Fixed-3_aic,0.9874780866516404,0.9827210689656193,0.9560925207075014,0.9682218762582835,N/A (Multi),"{'covariance_type': 'full', 'reg_covar': 0.001, 'selection_metric': 'aic', 'tune_components': False, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-3_aic,0.9749561733032808,0.9725086167949405,0.9157291603079607,0.9401919154897523,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 1e-09, 'selection_metric': 'aic', 'tune_components': True, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_accuracy,0.9752066115702479,0.9726779397830241,0.9166609191960313,0.9409196244941962,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 1e-09, 'selection_metric': 'accuracy', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_f1_score,0.9752066115702479,0.9726779397830241,0.9166609191960313,0.9409196244941962,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 1e-09, 'selection_metric': 'f1_score', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Fixed-3_aic,0.9749561733032808,0.9725086167949405,0.9157291603079607,0.9401919154897523,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 1e-09, 'selection_metric': 'aic', 'tune_components': False, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_aic,0.9757909675265047,0.9732017024337767,0.9183403964882391,0.9421408508895219,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 1e-06, 'selection_metric': 'aic', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-3_accuracy,0.9759579263711495,0.9747229356598368,0.9193606512219418,0.9433769516761948,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 1e-06, 'selection_metric': 'accuracy', 'tune_components': True, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-3_f1_score,0.9759579263711495,0.9747229356598368,0.9193606512219418,0.9433769516761948,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 1e-06, 'selection_metric': 'f1_score', 'tune_components': True, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Fixed-3_aic,0.9759579263711495,0.9747229356598368,0.9193606512219418,0.9433769516761948,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 1e-06, 'selection_metric': 'aic', 'tune_components': False, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_aic,0.9838049920694549,0.9646324735827518,0.9453603402837304,0.9535354405705053,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 0.001, 'selection_metric': 'aic', 'tune_components': True, 'n_components': 1}"
