dataset,attack_only,train_percentage,n_components,covariance_type,reg_covar,tune_components,selection_metric,accuracy,precision,recall,f1_score
CIC-IDS2017,True,1,1,full,1e-09,True,aic,0.98794360926237,0.9862062057888132,0.9220171286231508,0.9516976254681134
CIC-IDS2017,True,1,2,full,1e-09,True,accuracy,0.99255778349529,0.974072551880222,0.9508219710681044,0.9609243596547368
CIC-IDS2017,True,1,2,full,1e-09,True,f1_score,0.99255778349529,0.974072551880222,0.9508219710681044,0.9609243596547368
CIC-IDS2017,True,1,3,full,1e-09,False,aic,0.9919198792234578,0.97331074244532,0.9457137249975262,0.9576900072310623
CIC-IDS2017,True,1,1,full,1e-06,True,aic,0.9918560887962746,0.9860646171715975,0.9465653715691844,0.9649610499591468
CIC-IDS2017,True,1,2,full,1e-06,True,accuracy,0.9936634842331328,0.9749161919144224,0.9599210183168566,0.9666710029812714
CIC-IDS2017,True,1,2,full,1e-06,True,f1_score,0.9936634842331328,0.9749161919144224,0.9599210183168566,0.9666710029812714
CIC-IDS2017,True,1,3,full,1e-06,False,aic,0.9930255799613004,0.9767194890414876,0.954812772246278,0.9647284038419416
CIC-IDS2017,True,1,3,full,0.001,True,aic,0.9923451487380128,0.9698731509847728,0.9627277789237368,0.9654734854076004
CIC-IDS2017,True,1,1,full,0.001,True,accuracy,0.9929192625826616,0.9744058462727824,0.9661227125684172,0.969596764283664
CIC-IDS2017,True,1,1,full,0.001,True,f1_score,0.9929192625826616,0.9744058462727824,0.9661227125684172,0.969596764283664
CIC-IDS2017,True,1,3,full,0.001,False,aic,0.9923451487380128,0.9698731509847728,0.9627277789237368,0.9654734854076004
CIC-IDS2017,True,1,1,tied,1e-09,True,aic,0.98794360926237,0.9862062057888132,0.9220171286231508,0.9516976254681134
CIC-IDS2017,True,1,1,tied,1e-09,True,accuracy,0.98794360926237,0.9862062057888132,0.9220171286231508,0.9516976254681134
CIC-IDS2017,True,1,1,tied,1e-09,True,f1_score,0.98794360926237,0.9862062057888132,0.9220171286231508,0.9516976254681134
CIC-IDS2017,True,1,3,tied,1e-09,False,aic,0.9872631780390824,0.9863218783245088,0.9168659983648348,0.9486420846615596
CIC-IDS2017,True,1,1,tied,1e-06,True,aic,0.9918560887962746,0.9860646171715975,0.9465653715691844,0.9649610499591468
CIC-IDS2017,True,1,1,tied,1e-06,True,accuracy,0.9918560887962746,0.9860646171715975,0.9465653715691844,0.9649610499591468
CIC-IDS2017,True,1,1,tied,1e-06,True,f1_score,0.9918560887962746,0.9860646171715975,0.9465653715691844,0.9649610499591468
CIC-IDS2017,True,1,3,tied,1e-06,False,aic,0.9910268132428928,0.9859489218906256,0.9397806996505008,0.9608962679042048
CIC-IDS2017,True,1,1,tied,0.001,True,aic,0.9929192625826616,0.9744058462727824,0.9661227125684172,0.969596764283664
CIC-IDS2017,True,1,1,tied,0.001,True,accuracy,0.9929192625826616,0.9744058462727824,0.9661227125684172,0.969596764283664
CIC-IDS2017,True,1,1,tied,0.001,True,f1_score,0.9929192625826616,0.9744058462727824,0.9661227125684172,0.969596764283664
CIC-IDS2017,True,1,3,tied,0.001,False,aic,0.992238831359374,0.975208961351442,0.9605862151015888,0.967009400239638
CIC-IDS2017,True,1,1,diag,1e-09,True,aic,0.9614918454570583,0.8617350393613287,0.9588663111215602,0.8921962714490407
CIC-IDS2017,True,1,2,diag,1e-09,True,accuracy,0.9795445363499118,0.8883270778162472,0.9075183737358526,0.8913430380588081
CIC-IDS2017,True,1,2,diag,1e-09,True,f1_score,0.9795445363499118,0.8883270778162472,0.9075183737358526,0.8913430380588081
CIC-IDS2017,True,1,3,diag,1e-09,False,aic,0.9586425397095408,0.8512090593657219,0.9390381615923048,0.8791432374685423
CIC-IDS2017,True,1,1,diag,1e-06,True,aic,0.9611303663696869,0.8572042862820485,0.9527417716847332,0.887775037021564
CIC-IDS2017,True,1,2,diag,1e-06,True,accuracy,0.9817984647770523,0.8915773196236491,0.9109831924028198,0.8942591450898053
CIC-IDS2017,True,1,2,diag,1e-06,True,f1_score,0.9817984647770523,0.8915773196236491,0.9109831924028198,0.8942591450898053
CIC-IDS2017,True,1,3,diag,1e-06,False,aic,0.9594505517871952,0.8517455084147384,0.9361598724160068,0.8785601059787997
CIC-IDS2017,True,1,3,diag,0.001,True,aic,0.9527525569329562,0.8255644353860933,0.939602424666269,0.863695617915742
CIC-IDS2017,True,1,2,diag,0.001,True,accuracy,0.9715069425248252,0.8597031515923651,0.906666954282246,0.8699064623170698
CIC-IDS2017,True,1,2,diag,0.001,True,f1_score,0.9715069425248252,0.8597031515923651,0.906666954282246,0.8699064623170698
CIC-IDS2017,True,1,3,diag,0.001,False,aic,0.9527525569329562,0.8255644353860933,0.939602424666269,0.863695617915742
CIC-IDS2017,True,2,1,full,1e-09,True,aic,0.9941100172234152,0.98639873761318,0.9606662812151502,0.9728672817860724
CIC-IDS2017,True,2,3,full,1e-09,True,accuracy,0.9943439154564204,0.9844946521635736,0.9634306151870272,0.9733865237274444
CIC-IDS2017,True,2,3,full,1e-09,True,f1_score,0.9943439154564204,0.9844946521635736,0.9634306151870272,0.9733865237274444
CIC-IDS2017,True,2,3,full,1e-09,False,aic,0.9943439154564204,0.9844946521635736,0.9634306151870272,0.9733865237274444
CIC-IDS2017,True,2,2,full,1e-06,True,aic,0.9944927597865147,0.9819560507689092,0.9627627897265932,0.9719108423370426
CIC-IDS2017,True,2,3,full,1e-06,True,accuracy,0.9946416041166088,0.9833570568808584,0.9654034113345348,0.9739003592878198
CIC-IDS2017,True,2,1,full,1e-06,True,f1_score,0.9942801250292372,0.9847319050938615,0.9647217655612804,0.9743076406575832
CIC-IDS2017,True,2,3,full,1e-06,False,aic,0.9946416041166088,0.9833570568808584,0.9654034113345348,0.9739003592878198
CIC-IDS2017,True,2,2,full,0.001,True,aic,0.9939186459418656,0.9738179933383102,0.9719392976424134,0.9724226494608864
CIC-IDS2017,True,2,1,full,0.001,True,accuracy,0.9937485381360436,0.9743705936370765,0.97253370402953,0.9731277158997624
CIC-IDS2017,True,2,1,full,0.001,True,f1_score,0.9937485381360436,0.9743705936370765,0.97253370402953,0.9731277158997624
CIC-IDS2017,True,2,3,full,0.001,False,aic,0.9929405260583894,0.9690277814086384,0.9642036125422174,0.9661240347291644
CIC-IDS2017,True,2,1,tied,1e-09,True,aic,0.9941100172234152,0.98639873761318,0.9606662812151502,0.9728672817860724
CIC-IDS2017,True,2,1,tied,1e-09,True,accuracy,0.9941100172234152,0.98639873761318,0.9606662812151502,0.9728672817860724
CIC-IDS2017,True,2,1,tied,1e-09,True,f1_score,0.9941100172234152,0.98639873761318,0.9606662812151502,0.9728672817860724
CIC-IDS2017,True,2,3,tied,1e-09,False,aic,0.9935784303302218,0.9884120178598252,0.9562528204789028,0.971296425100588
CIC-IDS2017,True,2,1,tied,1e-06,True,aic,0.9942801250292372,0.9847319050938615,0.9647217655612804,0.9743076406575832
CIC-IDS2017,True,2,1,tied,1e-06,True,accuracy,0.9942801250292372,0.9847319050938615,0.9647217655612804,0.9743076406575832
